Period and Financial year,BusTube,DLR_Tram
01_10/11,279.6,8.6
02_10/11,266.1,8
03_10/11,260.2,7.9
04_10/11,269.9,8.2
05_10/11,243.3,7.8
06_10/11,256.70000000000005,7.5
07_10/11,278.5,8.6
08_10/11,270.2,8.9
09_10/11,269.4,8.7
10_10/11,212.6,6.6
11_10/11,267.4,8.4
12_10/11,265,8.7
13_10/11,257.4,8.1
01_11/12,275,8.5
02_11/12,273.9,8.5
03_11/12,270.6,8.3
04_11/12,279.2,8.7
05_11/12,246.6,8.1
06_11/12,259.2,8.5
07_11/12,286.5,9.9
08_11/12,281,9.6
09_11/12,286.5,9.5
10_11/12,230.5,7.1
11_11/12,271.2,9.100000000000001
12_11/12,271,9
13_11/12,283.9,9.6
01_12/13,260.5,9.1
02_12/13,281.79999999999995,9.7
03_12/13,266.2,9.2
04_12/13,286.8,10.4
05_12/13,270.1,12.899999999999999
06_12/13,271,11.1
07_12/13,292.4,10.2
08_12/13,285.1,10.2
09_12/13,289.5,10.2
10_12/13,230.9,7.7
11_12/13,269.8,9.6
12_12/13,277,10
13_12/13,283.1,10
01_13/14,263.7,9.899999999999999
02_13/14,286,10.4
03_13/14,279.4,10.1
04_13/14,291,10.5
05_13/14,260.4,9.7
06_13/14,264.7,9.2
07_13/14,295.9,10.5
08_13/14,290,10.6
09_13/14,299.5,10.799999999999999
10_13/14,239,8.5
11_13/14,283.4,10.2
12_13/14,279.9,10.700000000000001
13_13/14,313.9,11.100000000000001
01_14/15,252.89999999999998,9.8
02_14/15,285,10.700000000000001
03_14/15,286.3,10.600000000000001
04_14/15,293.7,10.8
05_14/15,266.5,10.2
06_14/15,269.7,10.5
07_14/15,302.9,11.299999999999999
08_14/15,298.79999999999995,11.6
09_14/15,306.8,11.799999999999999
10_14/15,243.8,9
11_14/15,278.4,11
12_14/15,282,11.4
13_14/15,323.8,12.5
01_15/16,317,12.299999999999999
02_15/16,282.5,10.9
03_15/16,295.8,11.2
04_15/16,283.8,11.2
05_15/16,256.9,10.700000000000001
06_15/16,272.6,10.7
07_15/16,302.5,11.8
08_15/16,293.9,11.100000000000001
09_15/16,300.6,11.7
10_15/16,232.5,8.9
11_15/16,286.3,11.4
12_15/16,285.3,11.7
13_15/16,253.9,10.3
01_16/17,303.5,12.8
02_16/17,287.6,11.9
03_16/17,277.8,11.5
04_16/17,286.79999999999995,11.8
05_16/17,256.4,10.8
06_16/17,265.1,11
07_16/17,297.3,12.1
08_16/17,289.2,12.3
09_16/17,299.4,12.2
10_16/17,234.8,9.7
11_16/17,276.3,12
12_16/17,281.2,11.899999999999999
13_16/17,284.4,11.9
01_17/18,277.2,11.799999999999999
02_17/18,288.4,11.7
03_17/18,277.4,11.399999999999999
04_17/18,290.5,12
05_17/18,256.1,11.299999999999999
06_17/18,262.4,10.8
07_17/18,295.5,12.1
08_17/18,288.7,12.2
09_17/18,298.9,12.200000000000001
10_17/18,232.8,9.3
11_17/18,280.7,11.5
12_17/18,274,11.5
13_17/18,281.8,10.899999999999999
01_18/19,269.4,11.3
02_18/19,285.2,12
03_18/19,278.3,11.5
04_18/19,286.8,12
05_18/19,251.9,11.1
06_18/19,259.6,10.8
07_18/19,293.6,12
08_18/19,287.9,12.399999999999999
09_18/19,298.7,12.3
10_18/19,236.8,9.4
11_18/19,278,11.5
12_18/19,282.1,11.899999999999999
13_18/19,296.79999999999995,12.2
01_19/20,257.8,10.9
02_19/20,281.29999999999995,11.899999999999999
03_19/20,279.4,11.5
04_19/20,288.7,11.899999999999999
05_19/20,252.8,11.1
06_19/20,259.20000000000005,10.299999999999999
07_19/20,291.5,11.8
08_19/20,282.2,12.2
09_19/20,293.7,12.100000000000001
10_19/20,232.2,9.4
11_19/20,275.2,11.5
12_19/20,271.4,11.5
13_19/20,187.3,7.699999999999999
01_19/20,35.9,1.6
02_19/20,39.2,1.9
03_19/20,60.3,2.8
04_19/20,88.9,3.9
05_19/20,104,4.6
06_19/20,131.1,5.4
07_19/20,141.5,5.9
08_19/20,122.60000000000001,5.1
09_19/20,121.1,5.1
10_19/20,76.3,3.4000000000000004
11_19/20,68.4,3.4000000000000004
12_19/20,76.7,3.9000000000000004
13_19/20,95.30000000000001,4.3
01_21/22,133.3,6.2
02_21/22,146.8,6.5
03_21/22,155.6,7.1
04_21/22,158.7,6.9
05_21/22,150.4,6.8
06_21/22,173.7,7.1000000000000005
07_21/22,199.89999999999998,8.799999999999999
08_21/22,199.10000000000002,8.9
09_21/22,207.10000000000002,8.6
10_21/22,140.5,5.8
11_21/22,183.7,7.5
12_21/22,193.2,7.9
13_21/22,197.10000000000002,8.1
01_22/23,213.8,8.7
02_22/23,220.1,9.4
03_22/23,209.3,8.4
04_22/23,218.39999999999998,8
05_22/23,195.9,7.9
06_22/23,211.79999999999998,8
07_22/23,234.39999999999998,9.2
08_22/23,229.79999999999998,9.4
